F; strategy 1 convergence; strategy 1 MAPE; strategy 2 convergence; strategy 2 MAPE; strategy 3 convergence; strategy 3 MAPE
0.000000;0.000000;19.995650;0.000000;29.357832;1.000000;32.290397;
0.100000;56.000000;5.227820;14.000000;14.941525;4.000000;17.971655;
0.200000;36.000000;6.135601;13.000000;12.821341;22.000000;11.215952;
0.300000;30.000000;6.367991;20.000000;11.541544;25.000000;10.340715;
0.400000;32.000000;6.154374;26.000000;9.520880;25.000000;8.984480;
0.500000;27.000000;6.544799;29.000000;9.263451;27.000000;8.467106;
0.600000;25.000000;6.978022;35.000000;8.013008;27.000000;7.544885;
0.700000;13.000000;7.718014;37.000000;7.480156;11.000000;8.074225;
0.800000;6.000000;7.930322;31.000000;7.255477;14.000000;7.769978;
0.900000;10.000000;7.683499;29.000000;7.009608;5.000000;8.934007;
1.000000;4.000000;7.982744;26.000000;6.978957;2.000000;8.989488;
1.100000;8.000000;8.109920;19.000000;7.288153;2.000000;9.557467;
1.200000;4.000000;8.803591;14.000000;7.766944;2.000000;9.935756;
1.300000;1.000000;8.880085;11.000000;7.892454;1.000000;10.709049;
1.400000;1.000000;9.139143;11.000000;8.065989;5.000000;10.337718;
1.500000;3.000000;9.862752;5.000000;8.759620;0.000000;11.375749;
1.600000;2.000000;10.350320;7.000000;9.623732;1.000000;11.492186;
1.700000;0.000000;10.230693;6.000000;9.624639;2.000000;11.923807;
1.800000;2.000000;9.819866;8.000000;9.438753;0.000000;11.753240;
1.900000;1.000000;10.500990;9.000000;9.586994;1.000000;11.746037;
2.000000;1.000000;10.815703;3.000000;10.226411;0.000000;12.897629;
