ITERS; strategy 1 convergence; strategy 1 MAPE; strategy 2 convergence; strategy 2 MAPE; strategy 3 convergence; strategy 3 MAPE
10;0.000000;32.887947;0.000000;32.449993;0.000000;34.570442;
20;0.000000;25.373163;0.000000;22.232061;0.000000;26.594746;
30;0.000000;21.246322;0.400000;18.389154;0.000000;23.324295;
40;0.000000;18.858844;0.400000;15.742711;0.000000;20.056003;
50;0.000000;17.121562;0.800000;12.563784;0.000000;18.989987;
60;0.000000;15.215408;2.000000;11.613602;0.000000;17.514417;
70;0.400000;13.700191;2.400000;11.311631;0.000000;16.270382;
80;0.400000;12.492530;4.400000;10.635825;0.000000;15.613470;
90;0.400000;11.557131;4.800000;10.727824;0.800000;13.754810;
100;1.600000;10.759331;8.000000;9.963719;0.400000;13.209407;
110;0.400000;10.258896;6.800000;10.284671;0.800000;12.657159;
120;2.400000;9.646873;7.200000;9.803379;0.000000;12.281433;
130;2.000000;9.056390;9.200000;9.747853;1.200000;11.347579;
140;5.200000;8.649600;7.200000;9.716648;0.000000;10.556666;
150;3.600000;8.345673;6.800000;9.680805;0.000000;10.430952;
160;4.400000;8.093724;8.800000;9.970623;1.600000;9.990313;
170;5.600000;7.943729;7.200000;9.855736;4.400000;9.262181;
180;6.800000;7.666703;8.800000;9.510215;1.600000;9.594759;
190;10.000000;7.376022;8.000000;9.912064;1.600000;9.078410;
200;10.800000;7.342510;5.200000;10.121723;2.400000;8.578076;
210;11.200000;7.201890;8.000000;9.963848;2.800000;8.535612;
220;14.800000;6.974498;9.600000;9.691265;1.600000;8.515364;
230;15.200000;6.911348;7.600000;9.858608;4.800000;8.216198;
240;14.000000;6.959065;8.800000;10.068531;3.200000;8.155171;
250;18.400000;6.635123;7.600000;9.984442;2.800000;8.161233;
260;21.600000;6.515582;4.400000;9.913232;5.200000;7.950146;
270;19.200000;6.458271;6.800000;10.129395;6.800000;7.752267;
280;14.000000;6.909313;10.000000;9.696137;7.600000;7.689112;
290;21.200000;6.497659;9.600000;9.224971;8.800000;7.505305;
300;20.000000;6.354818;6.000000;10.063611;8.400000;7.429878;
310;20.000000;6.558657;8.400000;9.444250;8.800000;7.237683;
320;18.000000;6.644561;9.200000;9.275091;10.000000;7.293046;
330;21.200000;6.315993;11.200000;9.867700;8.000000;7.401735;
340;25.600000;6.182907;8.400000;9.833331;12.800000;6.977870;
350;20.800000;6.279391;6.800000;10.134784;10.000000;7.188017;
360;24.000000;6.146825;7.600000;9.981267;11.200000;7.138491;
370;24.000000;6.126252;6.000000;10.040475;13.200000;7.056285;
380;20.400000;6.375187;8.400000;10.035967;10.400000;7.218471;
390;25.200000;5.995582;6.800000;9.899802;15.200000;6.921780;
400;24.400000;6.207351;8.000000;10.170405;21.200000;6.534980;
410;22.400000;6.247579;10.800000;9.287051;17.600000;6.673943;
420;19.600000;6.494308;6.800000;9.840801;14.800000;6.836417;
430;29.600000;5.779347;8.800000;9.451109;18.400000;6.613756;
440;23.600000;6.153708;7.200000;9.666581;16.800000;6.637727;
450;21.200000;6.332930;6.400000;9.307379;21.600000;6.601847;
460;20.000000;6.345677;8.400000;9.855750;18.400000;6.618953;
470;25.200000;6.039766;5.200000;9.876792;15.600000;6.753619;
480;22.800000;6.104438;10.400000;9.537789;15.200000;6.915726;
490;18.400000;6.482028;7.200000;9.628710;17.200000;6.784836;
500;20.000000;6.352021;7.600000;9.957619;21.200000;6.394654;
